[COT 2021-02-28 04:08:23] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:09:50] 76561198036774377: Teleported to position <3700.913818, 399.963501, 6037.182129>
[COT 2021-02-28 04:40:03] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<fa350810>, -1, 30) at <4549.558594, 289.274872, 6393.307617>
[COT 2021-02-28 04:40:05] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<fa351630>, -1, 30) at <4549.378906, 289.274872, 6396.483398>
[COT 2021-02-28 04:40:06] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<fa314ea0>, -1, 30) at <4550.466309, 289.274872, 6396.999023>
[COT 2021-02-28 04:40:07] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<fa318720>, -1, 30) at <4551.668457, 289.274872, 6397.288574>
[COT 2021-02-28 04:40:09] 76561198036774377: Spawned Entity Brick of Purple Kush Weed (CP_CannabisBrickKush<fa3171f0>, -1, 30) at <4551.832031, 289.274872, 6395.328613>
[COT 2021-02-28 04:40:12] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<fa322990>, -1, 30) at <4552.382324, 289.274872, 6395.902832>
[COT 2021-02-28 04:40:14] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<e47ba790>, -1, 30) at <4550.413086, 289.274872, 6398.416016>
[COT 2021-02-28 04:40:16] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<e47d3a20>, -1, 30) at <4548.097168, 289.274872, 6397.059082>
[COT 2021-02-28 04:40:18] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<e47e3860>, -1, 30) at <4545.128906, 289.274872, 6394.822266>
[COT 2021-02-28 04:40:19] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<eb4355a0>, -1, 30) at <4547.326660, 290.096924, 6392.799316>
[COT 2021-02-28 04:40:21] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<fd418180>, -1, 30) at <4549.931152, 290.359772, 6392.410645>
