[COT 2021-03-06 07:01:01] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:30] 76561198036774377: Teleported to position <3724.211182, 401.469482, 6011.561523>
[COT 2021-03-06 07:49:02] 76561198036774377: Left the Free Camera
[COT 2021-03-06 07:57:56] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 07:58:16] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a072470>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:16] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a073490>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:17] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a072c80>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:17] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a080630>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:17] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a07c5b0>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:17] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a07cdc0>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:17] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a07b590>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
[COT 2021-03-06 07:58:17] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<4a07e5f0>, -1, 100) at <4535.324707, 339.000031, 9688.274414>
