[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:12:56] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2b6880>, -1, 100) at <449.496857, 422.849091, 11170.507813>
[COT 2021-04-17 14:12:56] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2baa50>, -1, 100) at <449.496857, 422.849091, 11170.507813>
[COT 2021-04-17 14:12:56] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2b85c0>, -1, 100) at <449.496857, 422.849091, 11170.507813>
[COT 2021-04-17 14:12:57] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2b9bb0>, -1, 100) at <449.496857, 422.849091, 11170.507813>
[COT 2021-04-17 14:12:57] 76561198036774377: Spawned Entity MVS Combat Pants - Black (BDUPants<7b2bb1a0>, -1, 100) at <449.496857, 422.849091, 11170.507813>
[COT 2021-04-17 14:13:16] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b445c7d0>, -1, 100) at <449.360016, 422.849091, 11169.594727>
[COT 2021-04-17 14:13:16] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b445cf20>, -1, 100) at <449.360016, 422.849091, 11169.594727>
[COT 2021-04-17 14:13:17] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b4460250>, -1, 100) at <449.360016, 422.849091, 11169.594727>
[COT 2021-04-17 14:13:17] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b4461f90>, -1, 100) at <449.360016, 422.849091, 11169.594727>
[COT 2021-04-17 14:13:17] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b4462e30>, -1, 100) at <449.360016, 422.849091, 11169.594727>
[COT 2021-04-17 14:13:17] 76561198036774377: Spawned Entity MVS Combat Shirt - Multicam Black (TacticalShirt_ColorBase<b44609a0>, -1, 100) at <449.360016, 422.849091, 11169.594727>
