[COT 2021-03-20 04:04:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:30] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:36] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:11:54] 76561198036774377: Spawned Entity Human head (ItemBase<15b57b30>, -1, 100) at <10371.999023, 7.573638, 1669.455444>
[COT 2021-03-20 04:11:56] 76561198036774377: Spawned Entity Human head (ItemBase<15b58950>, -1, 100) at <10371.730469, 7.573638, 1669.298584>
[COT 2021-03-20 04:11:57] 76561198036774377: Spawned Entity Human head (ItemBase<15b55ef0>, -1, 100) at <10371.706055, 7.705657, 1669.173462>
[COT 2021-03-20 04:11:59] 76561198036774377: Spawned Entity Human head (ItemBase<15b59770>, -1, 100) at <10371.500000, 8.164373, 1669.597656>
[COT 2021-03-20 04:12:00] 76561198036774377: Spawned Entity Human head (ItemBase<15b51f60>, -1, 100) at <10371.531250, 8.242876, 1669.457397>
[COT 2021-03-20 04:12:02] 76561198036774377: Spawned Entity Human head (ItemBase<15b52670>, -1, 100) at <10371.748047, 8.123023, 1669.801514>
[COT 2021-03-20 04:12:03] 76561198036774377: Spawned Entity Human head (ItemBase<15b5b3b0>, -1, 100) at <10371.699219, 7.573638, 1670.701294>
[COT 2021-03-20 04:12:04] 76561198036774377: Spawned Entity Human head (ItemBase<15b5a590>, -1, 100) at <10372.383789, 7.573638, 1670.051025>
[COT 2021-03-20 04:12:06] 76561198036774377: Spawned Entity Human head (ItemBase<15b5f340>, -1, 100) at <10372.322266, 7.573638, 1669.618774>
[COT 2021-03-20 04:12:08] 76561198036774377: Spawned Entity Human head (ItemBase<15b5cff0>, -1, 100) at <10372.102539, 7.712787, 1669.575562>
[COT 2021-03-20 04:12:10] 76561198036774377: Spawned Entity Human head (ItemBase<15b5de10>, -1, 100) at <10372.093750, 7.573638, 1669.308105>
[COT 2021-03-20 04:12:12] 76561198036774377: Spawned Entity Human head (ItemBase<15b5fa50>, -1, 100) at <10371.921875, 7.573638, 1669.189697>
[COT 2021-03-20 04:12:12] 76561198036774377: Spawned Entity Human head (ItemBase<15b5d700>, -1, 100) at <10372.031250, 7.727526, 1669.134766>
[COT 2021-03-20 04:12:14] 76561198036774377: Spawned Entity Human head (ItemBase<15b5c1d0>, -1, 100) at <10371.997070, 7.931436, 1669.391113>
[COT 2021-03-20 04:12:16] 76561198036774377: Spawned Entity Human head (ItemBase<15b60160>, -1, 100) at <10371.176758, 8.737522, 1670.245850>
[COT 2021-03-20 04:12:17] 76561198036774377: Spawned Entity Human head (ItemBase<15b60f80>, -1, 100) at <10371.221680, 8.746071, 1670.129028>
[COT 2021-03-20 04:12:18] 76561198036774377: Spawned Entity Human head (ItemBase<15b624b0>, -1, 100) at <10371.135742, 8.608322, 1670.194214>
[COT 2021-03-20 04:12:20] 76561198036774377: Spawned Entity Human head (ItemBase<15b5e520>, -1, 100) at <10371.622070, 8.192800, 1670.404419>
[COT 2021-03-20 04:12:22] 76561198036774377: Spawned Entity Human head (ItemBase<15b5ec30>, -1, 100) at <10371.589844, 8.389523, 1669.637573>
[COT 2021-03-20 04:12:23] 76561198036774377: Spawned Entity Human head (ItemBase<15b60870>, -1, 100) at <10371.800781, 8.351837, 1669.689697>
