[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 23:10:19] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_Black<9cf5fab0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:20] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_White<9cf602c0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:20] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_White<9cf61af0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:20] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_White<9cf5ea90>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:21] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_White<9cf5aa10>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:21] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_White<9cf66b90>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:21] 76561198036774377: Spawned Entity EGD-2 Smoke Grenade (RDG2SmokeGrenade_White<9cf65360>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:22] 76561198036774377: Spawned Entity 8-M4 Flashbang
 (FlashGrenade<98304540>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:22] 76561198036774377: Spawned Entity 8-M4 Flashbang
 (FlashGrenade<983008c0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:22] 76561198036774377: Spawned Entity 8-M4 Flashbang
 (FlashGrenade<98301050>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:22] 76561198036774377: Spawned Entity 8-M4 Flashbang
 (FlashGrenade<983017e0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:23] 76561198036774377: Spawned Entity 8-M4 Flashbang
 (FlashGrenade<98306380>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:23] 76561198036774377: Spawned Entity 8-M4 Flashbang
 (FlashGrenade<98306b10>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:25] 76561198036774377: Spawned Entity  (Building<90484da0>, -1, 0) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:25] 76561198036774377: Spawned Entity  (Building<904824c0>, -1, 0) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:25] 76561198036774377: Spawned Entity  (Building<90480980>, -1, 0) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:26] 76561198036774377: Spawned Entity  (Building<90483260>, -1, 0) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:26] 76561198036774377: Spawned Entity  (Building<90484000>, -1, 0) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:30] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Red (ToxicM18SmokeGrenade_Red<9cf67bb0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:30] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Red (ToxicM18SmokeGrenade_Red<9cf6c440>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:30] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Red (ToxicM18SmokeGrenade_Red<9cf64b50>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:31] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Red (ToxicM18SmokeGrenade_Red<9cf6cc50>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:31] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Red (ToxicM18SmokeGrenade_Red<9cf6d460>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:32] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Green (ToxicM18SmokeGrenade_Green<9cf6f4a0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:32] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Green (ToxicM18SmokeGrenade_Green<9cf71cf0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:32] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Green (ToxicM18SmokeGrenade_Green<9cf704c0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:33] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Green (ToxicM18SmokeGrenade_Green<9cf70cd0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:33] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Green (ToxicM18SmokeGrenade_Green<9cf714e0>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:34] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<9cf74d50>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:34] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<9cf75560>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:34] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<9cf72d10>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:34] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<9cf73520>, -1, 100) at <10386.549805, 6.183805, 1667.725098>
