[COT 2021-02-06 23:05:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:38] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:06:24] 76561198036774377: Teleported to position <1748.491699, 449.989990, 14027.447266>
[COT 2021-02-06 23:25:43] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<bfb655f0>, -1, 200) at <1661.100586, 451.730042, 14197.172852>
[COT 2021-02-06 23:25:44] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<bfb66590>, -1, 200) at <1662.896851, 451.730011, 14194.842773>
[COT 2021-02-06 23:25:46] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<bfb60fa0>, -1, 200) at <1661.854736, 451.730072, 14187.653320>
[COT 2021-02-06 23:25:52] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d4259350>, -1, 100) at <1658.451172, 451.730011, 14186.169922>
[COT 2021-02-06 23:25:53] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d425e3f0>, -1, 100) at <1661.676147, 451.730042, 14189.146484>
[COT 2021-02-06 23:25:55] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d425b390>, -1, 100) at <1665.182739, 451.730011, 14185.618164>
[COT 2021-02-06 23:25:57] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d439f710>, -1, 100) at <1660.270630, 451.730011, 14180.006836>
[COT 2021-02-06 23:26:00] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d43ab080>, -1, 100) at <1664.908936, 451.730042, 14194.403320>
[COT 2021-02-06 23:26:02] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<cffd19e0>, -1, 100) at <1664.021362, 451.730011, 14192.836914>
[COT 2021-02-06 23:26:03] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d438e4f0>, -1, 100) at <1662.928467, 451.730042, 14190.226563>
[COT 2021-02-06 23:26:05] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<cc990170>, -1, 100) at <1662.047607, 451.729980, 14186.850586>
[COT 2021-02-06 23:26:08] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d4281850>, -1, 100) at <1657.247925, 451.730042, 14188.004883>
[COT 2021-02-06 23:26:10] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<cffbaf10>, -1, 100) at <1657.081909, 451.730011, 14191.848633>
[COT 2021-02-06 23:26:11] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d457bce0>, -1, 100) at <1656.019897, 451.730072, 14186.879883>
[COT 2021-02-06 23:26:13] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d4579ca0>, -1, 100) at <1653.327881, 451.730011, 14192.631836>
[COT 2021-02-06 23:26:15] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d45845f0>, -1, 100) at <1656.314819, 451.729950, 14195.025391>
[COT 2021-02-06 23:26:17] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d4582dc0>, -1, 100) at <1656.129150, 451.730042, 14193.051758>
[COT 2021-02-06 23:26:19] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d458d710>, -1, 100) at <1655.218018, 451.730011, 14190.801758>
[COT 2021-02-06 23:26:20] 76561198036774377: Spawned Entity Infected (ZmbM_PatrolNormal_Base<d4585610>, -1, 100) at <1655.616333, 451.730042, 14188.393555>
